sold,days,discount,price,r2M,MonthList,MonthSold,NumList,NumPC,NumSold
1,168,17.299999999999997,850000,0.5,7,12,1,2,2
1,187,10.5,715000,0.42,7,1,1,2,3
1,373,29.5,1480000,0.88,12,12,1,4,2
1,174,17.299999999999997,950000,0.56,6,12,1,1,1
1,257,19.0,1337200,0.79,3,12,2,3,2
1,78,4.5,1217500,0.72,9,12,1,0,1
1,269,18.599999999999994,2035000,1.21,3,12,4,6,2
1,253,15.700000000000003,1475000,0.87,3,12,1,2,2
1,90,6.0,930000,0.55,9,12,1,0,1
1,84,13.5,2075000,1.23,9,11,1,1,2
1,103,1.7000000000000028,1175000,0.7,8,11,1,0,1
1,281,23.700000000000003,1140000,0.68,2,11,1,5,2
1,468,51.9,1300000,0.77,8,11,4,1,3
1,206,16.799999999999997,2160000,1.28,4,11,2,4,2
1,106,15.400000000000006,1100000,0.65,8,11,2,1,1
1,145,9.599999999999994,2575000,1.53,6,11,1,1,2
1,163,3.799999999999997,1202500,0.71,5,11,1,0,1
1,173,9.0,3175000,1.88,4,10,1,1,2
1,184,16.299999999999997,1422500,0.84,4,10,2,3,3
1,119,16.700000000000003,990000,0.59,6,10,1,1,1
1,101,0.0,1298000,0.77,6,10,1,0,1
1,175,5.599999999999994,1600000,0.95,4,10,1,0,1
1,243,0.0,1999000,1.18,2,10,2,0,2
1,122,7.5,2400000,1.42,6,10,1,0,3
1,168,16.900000000000006,1620000,0.96,4,9,1,2,2
1,113,8.400000000000006,870000,0.52,6,9,1,0,4
1,226,8.900000000000006,2000000,1.19,2,9,5,7,8
1,127,8.5,1418000,0.84,5,9,2,1,3
1,118,11.200000000000003,755000,0.97,2,6,2,2,1
1,79,0.0,699000,0.89,3,5,1,0,2
1,54,0.0,849000,1.09,4,5,3,0,4
1,73,4.299999999999997,837500,1.07,2,4,2,0,2
1,92,0.0,995000,1.27,1,4,1,0,3
1,200,22.599999999999994,600000,0.77,9,4,1,3,1
1,70,3.5999999999999943,525200,0.67,1,4,1,0,1
1,57,0.7000000000000028,685000,0.88,2,4,3,5,2
1,72,6.0,675000,0.86,1,3,1,1,1
1,81,3.299999999999997,705000,0.9,1,3,1,1,1
1,97,5.599999999999994,722000,0.92,12,3,1,0,1
1,136,7.099999999999994,650000,0.83,10,3,1,1,1
1,117,2.799999999999997,825000,1.06,10,2,1,0,2
1,81,2.700000000000003,802500,1.03,11,1,1,0,3
1,341,19.0,623900,0.8,2,1,2,6,4
1,98,14.599999999999994,665000,0.85,9,12,1,1,1
1,81,8.0,735000,0.94,9,12,2,1,3
1,83,8.099999999999994,670000,0.86,9,11,1,0,2
1,101,23.099999999999994,500000,0.64,8,11,1,1,1
1,183,7.700000000000003,600000,0.77,5,11,2,4,3
1,109,2.0999999999999943,616000,0.79,7,11,2,4,4
1,142,11.299999999999997,875000,1.12,6,10,1,1,2
1,89,4.700000000000003,1520000,1.94,7,10,2,0,3
1,99,18.099999999999994,630000,0.81,6,10,2,1,1
1,158,5.200000000000003,615000,0.79,4,10,2,2,1
1,232,16.099999999999994,520000,0.67,2,10,1,1,4
1,65,5.0,760000,0.97,7,9,1,1,1
1,246,10.700000000000003,785000,1.49,4,12,1,3,1
1,167,9.299999999999997,635000,1.2,6,12,5,6,3
1,229,17.5,660000,1.25,4,12,1,4,3
1,53,2.4000000000000057,340000,0.64,10,12,1,0,2
1,112,15.0,510000,0.97,8,12,2,5,1
1,75,0.0,1595000,3.02,9,11,2,0,2
1,138,0.5,995000,1.89,7,11,1,0,1
1,135,0.0,499000,0.95,7,11,1,0,1
1,77,0.0,550000,1.04,8,11,2,0,2
1,192,24.799999999999997,790000,1.5,5,11,3,5,3
1,141,5.099999999999994,940000,1.78,6,11,1,1,1
1,120,4.400000000000006,667500,1.27,7,11,1,0,2
1,156,13.099999999999994,765000,1.45,6,11,1,1,3
1,98,2.299999999999997,878000,1.66,8,11,2,0,4
1,217,13.200000000000003,955000,1.81,4,11,1,4,2
1,211,10.799999999999997,445000,0.84,4,10,1,2,1
1,124,6.799999999999997,605000,1.15,6,10,1,1,1
1,325,15.400000000000006,488000,0.93,12,10,1,3,4
1,134,6.400000000000006,622500,1.18,6,10,3,1,1
1,103,4.799999999999997,1190000,2.26,7,10,3,1,3
1,97,11.400000000000006,530000,1.0,7,10,1,2,1
1,111,3.299999999999997,595000,1.13,6,10,1,0,3
1,181,14.5,1150000,2.18,4,10,1,2,2
1,133,6.400000000000006,1403700,2.66,6,10,1,0,2
1,115,1.7000000000000028,737500,1.4,6,10,2,1,3
1,63,2.299999999999997,771180,1.46,8,10,2,0,2
1,69,0.0,500000,0.95,8,10,1,0,1
1,55,0.0,450000,0.85,8,10,2,0,5
1,180,11.599999999999994,573400,1.09,4,10,2,2,2
1,175,7.200000000000003,1575000,2.99,4,10,1,2,4
1,52,1.5999999999999943,615000,1.17,8,10,1,0,1
1,63,8.299999999999997,640000,1.21,8,10,1,1,1
1,334,99.4,3350,0.01,10,9,4,8,4
1,88,1.9000000000000057,705000,1.34,7,9,1,0,2
1,252,3.799999999999997,769000,0.65,9,5,1,1,1
1,202,11.700000000000003,742000,0.63,11,5,1,2,1
1,226,9.400000000000006,860000,0.73,10,5,4,3,4
1,270,9.099999999999994,1450000,1.23,7,3,5,1,3
1,167,9.200000000000003,1270000,1.07,9,2,6,2,3
1,126,1.4000000000000057,730000,0.62,10,2,3,0,2
1,189,27.799999999999997,975000,0.82,8,10,3,7,2
1,197,9.5,950000,0.8,7,1,3,2,3
1,92,1.2999999999999972,610000,0.52,10,1,2,3,3
1,116,5.900000000000006,1125000,0.95,9,1,2,4,3
1,236,10.200000000000003,570000,0.48,5,12,3,1,1
1,352,10.599999999999994,1050000,0.89,1,12,2,2,1
1,245,11.700000000000003,1633000,1.38,4,12,1,2,3
1,106,7.900000000000006,1500000,1.27,8,12,8,11,1
1,172,12.400000000000006,875000,0.74,6,11,1,0,1
1,167,20.5,755000,0.64,6,11,1,3,1
1,204,4.599999999999994,1525000,1.29,4,11,1,0,3
1,255,18.200000000000003,1795000,1.52,2,11,1,3,2
1,192,6.400000000000006,1025000,0.87,4,11,1,0,2
1,167,17.900000000000006,4600000,3.89,5,11,1,0,3
1,271,6.700000000000003,765000,0.65,2,11,1,2,1
1,235,17.599999999999994,1152500,0.97,3,11,2,2,1
1,267,22.400000000000006,970000,0.82,2,10,2,1,2
1,449,19.0,1215000,1.62,2,4,3,5,3
1,232,5.0,950000,1.27,8,4,2,0,3
1,60,0.0,825000,1.1,1,3,1,0,1
1,255,3.200000000000003,605000,0.81,6,2,3,0,2
1,99,1.0,792000,1.06,10,1,1,0,2
1,172,12.200000000000003,860000,1.15,6,11,3,6,2
1,148,5.5,755625,0.85,1,6,3,1,3
1,349,10.5,715000,0.81,6,5,2,4,1
1,92,0.9000000000000057,742000,0.84,2,5,3,5,3
1,91,5.599999999999994,1275000,1.44,2,5,2,1,2
1,80,0.0,649000,0.73,2,5,2,3,1
1,90,10.299999999999997,806000,0.91,1,4,2,1,2
1,72,1.9000000000000057,705500,0.79,2,4,2,0,2
1,285,5.200000000000003,1800000,2.03,4,2,1,0,3
1,287,14.299999999999997,685000,0.77,4,1,1,4,1
1,133,8.700000000000003,855000,0.96,9,1,2,4,2
1,122,1.5999999999999943,753000,0.85,9,1,1,0,2
1,259,3.0,980000,1.1,4,12,3,7,1
1,203,7.900000000000006,726500,0.82,6,12,1,1,1
1,76,5.900000000000006,798000,0.9,10,12,3,2,3
1,198,9.299999999999997,594000,0.67,5,12,1,2,1
1,124,1.5999999999999943,629000,0.71,8,12,1,0,4
1,295,19.5,1035000,1.17,2,11,1,2,3
1,123,6.700000000000003,420000,0.47,7,11,1,0,1
1,244,14.799999999999997,1150000,1.3,3,11,1,4,2
